id,chinese,english,theme id,complexity rating,root question id
125,我鍾意去嗰間日本餐廳，佢哋嘅壽司好新鮮。,I like going to that Japanese restaurant; their sushi is very fresh.,6,3,117
126,我唔係有一間特別鍾意嘅餐廳，視乎心情而定。,I don’t have a particular favorite restaurant; it depends on my mood.,6,2,117
127,我最鍾意食意大利菜同日式菜。,I like Italian and Japanese cuisines the most.,6,1,118
128,我鍾意食本地菜，特別係中式。,"I like local food, especially Chinese cuisine.",6,1,118
129,我喜歡食西餐，尤其係扒房嘅牛扒。,"I enjoy Western food, especially steak from steakhouse restaurants.",6,2,118
130,會嘅，我鍾意試下唔同嘅菜式。,"Yes, I do. I like trying different dishes.",6,1,119
131,唔會，我通常都係食自己熟悉嘅嘢。,"No, I don’t; I usually stick to what I’m familiar with.",6,2,119
132,視乎心情，有時會試新嘢，有時就唔會。,"It depends on my mood; sometimes I try new dishes, sometimes I don’t.",6,2,119
133,我唔鍾意食辣嘢，會令我唔舒服。,I don’t like spicy food; it makes me uncomfortable.,6,3,120
134,我唔食海鮮，因為過敏。,I don’t eat seafood because I’m allergic.,6,3,120
135,我唔鍾意食苦瓜，味道太苦啦。,I don’t like bitter melon; the taste is too bitter.,6,2,120
136,你最近有冇計劃旅行？,Have you planned any recent trips?,7,1,NULL
137,你最鍾意嘅旅遊地點係邊？,What is your favorite travel destination?,7,2,NULL
138,你會唔會自助旅行？,Do you prefer traveling independently?,7,1,NULL
139,你平時選擇咩方法去旅行？,What mode of transport do you usually choose when you travel?,7,2,NULL
140,你鍾意住酒店定民宿？,Do you prefer staying at hotels or homestays?,7,2,NULL
141,有啊，我計劃下個月去日本旅遊。,"Yes, I’m planning a trip to Japan next month.",7,2,136
142,唔係好確定，可能會去香港。,I’m not sure yet; I might go to Hong Kong.,7,1,136
143,我計劃下個星期去海邊，放鬆一下。,I’m planning to go to the beach next week to relax.,7,2,136
144,我最鍾意嘅旅遊地點係巴黎，因為好浪漫。,My favorite travel destination is Paris because it’s so romantic.,7,3,137
145,我鍾意去新加坡，因為有好多美食。,I love going to Singapore because of the great food.,7,2,137
146,我最鍾意去泰國，尤其係普吉島，風景好靚。,"My favorite place is Thailand, especially Phuket; the scenery is beautiful.",7,3,137
147,會，我覺得自助旅行好自由，唔受限於團體。,"Yes, I do; I find independent travel very freeing and not restricted by a group.",7,2,138
148,唔會，我比較鍾意跟團旅行，唔使自己計劃。,"No, I prefer traveling with a tour group so I don’t have to plan everything myself.",7,2,138
149,視乎情況，有時會選擇自助旅行，有時會跟團。,"It depends on the situation; sometimes I choose independent travel, and other times I go with a group.",7,2,138
150,我通常會搭飛機，因為方便同快捷。,I usually travel by plane because it’s convenient and fast.,7,1,139
151,我鍾意搭火車，因為可以欣賞沿途風景。,I prefer taking the train because I can enjoy the scenery along the way.,7,2,139
152,我會視乎距離，短途就搭巴士，長途就搭飛機。,"It depends on the distance; for short trips, I take the bus, and for long ones, I fly.",7,2,139
153,我鍾意住酒店，因為比較方便同有設施。,I prefer staying at hotels because they are more convenient and have better facilities.,7,2,140
154,我比較鍾意住民宿，因為感覺更有本地特色。,I prefer staying at homestays because they offer more local flavor.,7,2,140
155,我會視乎情況，如果係旅遊景點附近就住酒店，否則就住民宿。,"It depends on the situation; if I’m near tourist attractions, I stay at hotels, otherwise I go for a homestay.",7,2,140
156,你有冇遇到過緊急情況？,Have you ever been in an emergency situation?,8,2,NULL
157,如果有意外，你會點做？,What would you do if there was an accident?,8,3,NULL
158,你知唔知道緊急聯絡電話係咩？,Do you know what the emergency contact number is?,8,1,NULL
159,你有冇試過向醫生解釋自己嘅病徵？,Have you ever had to explain your symptoms to a doctor?,8,2,NULL
160,如果有人受傷，你會點幫助佢？,What would you do if someone got injured?,8,3,NULL
161,有，曾經有一次係車禍現場，真係好驚。,"Yes, once I was at the scene of a car accident, it was really scary.",8,3,156
162,係有過一次火警，但幸好冇大問題。,"Yes, I’ve experienced a fire alarm once, but luckily there was no major issue.",8,2,156
163,唔係好記得，但我知道緊急情況一定要保持冷靜。,"I don’t recall any specific situation, but I know it’s important to stay calm during an emergency.",8,2,156
164,我會打緊急電話，並嘗試協助傷者。,I would call emergency services and try to assist the injured person.,8,2,157
165,首先要確認安全，然後幫助受害者，最後報警。,"First, make sure the area is safe, then help the victim, and finally call for help.",8,3,157
166,我會根據情況提供急救，直到專業人員到達。,I would provide first aid depending on the situation until professionals arrive.,8,3,157
167,當然，緊急時打999係最重要嘅。,"Of course, calling 999 is the most important thing in an emergency.",8,1,158
168,係嘅，我知道係緊急情況要打緊急電話，係香港係打999。,"Yes, I know that in an emergency, you should call the emergency number, which is 999 in Hong Kong.",8,1,158
169,我知道緊急情況應該報警或打電話求助。,"I know that in an emergency, you should report it or call for help.",8,1,158
170,係呀，當我嘔吐同頭痛時，我會向醫生解釋情況。,"Yes, when I was vomiting and had a headache, I explained the situation to the doctor.",8,2,159
171,我試過向醫生解釋我有嘅過敏反應，佢都幫到我。,"I once explained my allergic reactions to a doctor, and they were able to help me.",8,3,159
172,有，解釋清楚病徵好重要，特別係緊急情況。,"Yes, it’s important to explain your symptoms clearly, especially in an emergency.",8,2,159
173,我會嘗試止血並叫人幫手，必要時打緊急電話。,"I would try to stop the bleeding and ask for help, and call emergency services if needed.",8,3,160
174,如果係小傷，我會用繃帶包紮，否則會叫救護車。,"If it’s a minor injury, I would use a bandage to dress it, otherwise, I’d call for an ambulance.",8,2,160
175,我會幫佢檢查有冇重傷，並嘗試安慰佢。,I would check for serious injuries and try to comfort them.,8,3,160
176,你最近身體健康嗎？,Have you been in good health recently?,9,1,NULL
177,你有冇試過去睇醫生？,Have you ever been to see a doctor?,9,2,NULL
178,你通常點樣保持身體健康？,How do you usually maintain your physical health?,9,3,NULL
179,你覺得壓力大嘅時候，點樣放鬆？,How do you relax when you’re stressed?,9,3,NULL
180,你最近有冇唔舒服嘅感覺？,Have you been feeling unwell recently?,9,2,NULL
181,我最近都幾健康，飲食同運動都做得好。,"I’ve been quite healthy recently, keeping up with my diet and exercise.",9,2,176
182,有時有啲疲勞，但大體上都冇問題。,"Sometimes I feel a bit tired, but overall, I’m fine.",9,2,176
183,最近有啲小感冒，但都快啲康復。,"I had a slight cold recently, but I’m recovering quickly.",9,2,176
184,有，係上個禮拜因為喉嚨痛去過一次。,"Yes, I went last week because of a sore throat.",9,3,177
185,係呀，我每年都會定期檢查身體。,"Yes, I get regular checkups every year.",9,2,177
186,以前有試過，但最近都冇去睇過。,"I have been before, but I haven’t gone recently.",9,1,177
187,我會每日做運動，例如跑步同做瑜伽。,"I exercise every day, like running and doing yoga.",9,3,178
188,健康飲食同保持足夠嘅休息都好重要。,Eating healthy and getting enough rest are also important.,9,2,178
189,我會每週去健身室訓練，保持身體健康。,I go to the gym weekly for training to stay healthy.,9,3,178
190,我會做深呼吸同冥想，幫助放鬆。,I do deep breathing and meditate to help me relax.,9,2,179
191,平時會聽音樂或者睇書，幫助我減壓。,I usually listen to music or read a book to reduce stress.,9,3,179
192,同朋友聚會都係一種放鬆方式。,Meeting up with friends is also a way to relax.,9,2,179
193,唔係好舒服，最近有啲頭痛同流感症狀。,I haven’t been feeling well; I’ve had headaches and flu symptoms.,9,3,180
194,唔係好舒服，但都唔算嚴重。,"I’ve been unwell, but it’s not too serious.",9,2,180
195,最近有啲肚瀉，應該係食咗唔乾淨嘅嘢。,"I’ve had some diarrhea recently, probably from eating something unclean.",9,3,180
196,你最近同家人嘅關係點呀？,How have your relationships with your family been lately?,10,1,NULL
197,你有冇同朋友吵架？,Have you argued with any friends recently?,10,2,NULL
198,你同伴侶之間有冇咩新嘅計劃？,Do you and your partner have any new plans?,10,3,NULL
199,你會點樣解決同人之間嘅矛盾？,How do you resolve conflicts with others?,10,3,NULL
200,你同家人經常會做咩活動？,What activities do you often do with your family?,10,2,NULL
201,最近都幾好，大家都係忙住工作，但都有時間聚埋一齊食飯。,"It’s been good lately; everyone’s busy with work, but we still make time to have meals together.",10,2,196
202,有時會有啲小爭執，但都係會攤開傾。,"Sometimes there are small arguments, but we always talk things through.",10,3,196
203,我哋一家人最近都幾開心，因為大家都健康。,My family has been happy lately because we’re all healthy.,10,2,196
204,係，有一次因為一啲唔重要嘅嘢發生咗爭拗，但已經和好啦。,"Yes, there was an argument over something minor, but we’ve already made up.",10,3,197
205,無啦，最近同朋友相處都幾融洽。,"No, I’ve been getting along well with my friends recently.",10,2,197
206,會有時有啲唔同意見，但都會好好溝通。,"There are sometimes differences of opinion, but we always communicate well.",10,3,197
207,我哋計劃去旅行，想換個環境放鬆一下。,We’re planning a trip to change the environment and relax.,10,3,198
208,最近有啲咩特別嘅慶祝活動，兩個人都好期待。,We’re looking forward to celebrating something special together soon.,10,2,198
209,無特別計劃，但我哋會繼續支持對方嘅夢想。,"No special plans, but we’ll continue to support each other’s dreams.",10,2,198
210,我會先聽對方講，了解佢嘅感受，然後再表達自己嘅立場。,I listen to the other person first to understand their feelings and then express my own position.,10,2,199
211,通常會冷靜一陣，然後再同對方講解問題。,"Usually, I take a moment to calm down before explaining the problem to the other person.",10,3,199
212,我哋會一齊諗解決方法，唔會只係互相指責。,We try to think of a solution together rather than just blaming each other.,10,3,199
213,我哋會一齊做晚餐，或者玩遊戲。,We cook dinner together or play games.,10,2,200
214,會去郊外野餐，享受大自然。,We go on picnics in the countryside and enjoy nature.,10,3,200
215,有時會去旅行或者參加家族聚會。,Sometimes we go on trips or attend family gatherings.,10,2,200
216,你平時有咩嗜好？,What hobbies do you usually have?,11,1,NULL
217,你最鍾意做咩運動？,What sport do you like to do the most?,11,2,NULL
218,你有冇試過學畫畫？,Have you ever tried learning how to draw?,11,3,NULL
219,你係唔係一個遊戲迷？,Are you a gamer?,11,2,NULL
220,最近有冇試過啲新嘅興趣？,Have you tried any new hobbies recently?,11,3,NULL
221,我鍾意旅行，攝影同埋聽音樂。,"I enjoy traveling, photography, and listening to music.",11,2,216
222,平時我會讀書，或者做運動保持健康。,I usually read books or exercise to stay healthy.,11,2,216
223,我最喜歡嘅嗜好係做手工藝，特別係編織同做手工卡片。,"My favorite hobby is crafting, especially knitting and making handmade cards.",11,3,216
224,我最鍾意打籃球，幾乎每個週末都會去球場。,I love playing basketball; I go to the court almost every weekend.,11,2,217
225,我喜歡跑步，跑步係我放鬆心情嘅方法。,I enjoy running; it’s my way to relax.,11,1,217
226,游泳係我最鍾意嘅運動，特別係夏天。,"Swimming is my favorite sport, especially in the summer.",11,2,217
227,係，有試過畫過風景畫，不過都唔係咁有天份。,"Yes, I’ve tried painting landscapes, but I’m not that talented.",11,3,218
228,我有興趣學畫畫，但最近冇時間。,"I’m interested in learning how to draw, but I haven’t had time lately.",11,2,218
229,係呀，學咗一啲簡單嘅插畫，唔錯！,"Yes, I’ve learned some basic illustration, and it’s going well!",11,2,218
230,係，我係一個遊戲迷，特別鍾意玩角色扮演遊戲。,"Yes, I’m a gamer, and I especially like playing role-playing games.",11,3,219
231,唔係，好少玩遊戲，不過有時會同朋友玩啲簡單嘅遊戲。,"No, I don’t play games much, but I sometimes play simple games with friends.",11,2,219
232,我唔係太鍾意遊戲，但我會睇直播了解下新嘅遊戲趨勢。,"I’m not really into games, but I watch streams to keep up with new gaming trends.",11,2,219
233,係呀，最近學咗做陶藝，覺得好有趣。,"Yes, I’ve recently started learning pottery, and it’s really fun.",11,3,220
234,最近試咗學做烘焙，效果唔錯！,"I’ve recently tried baking, and it turned out well!",11,2,220
235,無，最近都冇時間試新嘅興趣，但我有計劃。,"No, I haven’t had time to try any new hobbies, but I do have plans.",11,2,220
236,今天天氣點？,How’s the weather today?,12,1,NULL
237,今個星期會唔會落雨？,Will it rain this week?,12,2,NULL
238,你鍾意冬天定係夏天？,Do you prefer winter or summer?,12,2,NULL
239,呢個季節嘅天氣點樣？,How’s the weather in this season?,12,2,NULL
240,你有冇睇天氣報告？,Have you checked the weather report?,12,1,NULL
241,今日天氣幾好，陽光普照，氣溫大約25度。,"The weather is nice today, sunny with a temperature of around 25°C.",12,1,236
242,今日天氣唔錯，但有少少風。,"The weather is good today, but there’s a bit of wind.",12,1,236
243,今天天氣唔太理想，會下雨。,The weather isn’t great today; it’s going to rain.,12,2,236
244,係，預計後日會有雷陣雨。,"Yes, it’s forecasted to have thunderstorms the day after tomorrow.",12,3,237
245,無，這個星期天氣都幾乾燥，唔會有雨。,"No, it’s quite dry this week and there won’t be any rain.",12,2,237
246,唔太肯定，但可能會有少少陣雨。,"Not too sure, but there might be some light showers.",12,2,237
247,我鍾意夏天，因為可以攞住冰凍飲品出去玩。,I prefer summer because I can take cold drinks and go out to play.,12,2,238
248,冬天最好，因為可以著厚衫，感覺好溫暖。,I like winter best because I can wear thick clothes and feel warm.,12,2,238
249,我兩者都鍾意，視乎當時嘅心情。,"I like both, depending on my mood at the time.",12,1,238
250,呢個季節天氣都幾舒服，唔太熱亦唔太冷。,"The weather in this season is quite comfortable, not too hot or too cold.",12,2,239
251,今個季節比較潮濕，唔係咁適合戶外活動。,"This season is relatively humid, not ideal for outdoor activities.",12,3,239
252,呢個季節天氣變化多，時晴時雨。,"The weather in this season changes a lot, sunny at times and rainy at others.",12,2,239
253,係，有睇，話會有一個禮拜都係陽光普照。,"Yes, I’ve checked it, and it’s forecasted to be sunny for a week.",12,2,240
254,係，啱啱睇咗，話呢個星期會比較涼。,"Yes, I just checked, and it says this week will be cooler.",12,2,240
255,無，我唔太留意天氣報告，通常睇天都知天氣點。,"No, I don’t really follow the weather report; I usually look outside to know the weather.",12,1,240
256,你最近有冇睇到啲唔錯嘅租盤？,Have you seen any good rental listings lately?,13,2,NULL
257,你打算買樓定係租樓？,Are you planning to buy or rent a house?,13,2,NULL
258,呢度附近有冇啲好嘅房屋仲售？,Are there any good houses for sale nearby?,13,2,NULL
259,你覺得呢個屋企嘅租金貴唔貴？,Do you think the rent for this house is expensive?,13,2,NULL
260,你平時點樣管理屋企嘅維修？,How do you usually manage household repairs?,13,3,NULL
261,係，有一個啱嘅租盤，不過位置唔太理想。,"Yes, there’s a suitable rental, but the location isn’t ideal.",13,2,256
262,有睇過，不過大部分都好貴。,"I’ve seen some, but most of them are quite expensive.",13,2,256
263,冇，最近都冇咩合適嘅。,"No, I haven’t found anything suitable recently.",13,1,256
264,我打算租樓，因為唔想一開始就承擔咁多債務。,I’m planning to rent because I don’t want to take on so much debt at the start.,13,2,257
